Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
535,282,108,1,4.5,4.9,6.33,1,0.89
536,315,95,2,2.0,2.6,6.61,1,0.95
537,340,86,2,4.8,4.6,7.67,0,0.52
538,310,104,4,3.8,2.6,6.3,0,0.61
539,338,113,4,3.2,4.2,9.5,0,0.65
540,322,119,2,3.0,4.7,8.11,1,0.6
541,280,114,4,2.6,3.7,7.29,1,0.64
542,338,114,2,3.6,3.7,6.71,1,0.96
543,301,87,1,4.6,3.3,9.58,1,0.65
544,340,111,2,2.4,3.0,9.42,0,0.55
545,283,98,3,4.1,4.6,6.37,1,0.78
546,328,83,2,4.2,3.3,6.98,1,0.67
547,309,117,5,4.7,4.2,7.0,0,0.56
548,294,80,4,2.2,2.0,9.74,0,0.83
549,315,100,1,3.8,2.9,9.65,0,0.91
550,307,86,4,4.3,4.2,9.39,0,0.55
551,287,84,4,3.8,3.5,7.41,0,0.83
552,296,115,1,2.4,4.5,9.23,1,0.6
553,300,112,4,3.0,2.6,8.26,1,0.54
554,325,81,5,4.2,2.3,8.25,0,0.8
555,333,88,5,3.1,3.0,8.66,0,0.84
556,282,93,5,5.0,2.1,8.46,1,0.74
557,316,87,5,4.4,4.0,8.97,1,0.71
558,288,116,5,4.6,4.1,6.49,0,0.63
559,301,99,2,4.6,2.2,9.11,0,0.82
560,288,116,2,4.0,4.0,9.56,1,0.92
561,310,95,2,3.8,3.5,7.67,0,0.58
562,293,83,1,4.9,2.1,6.99,0,0.78
563,339,112,3,2.7,4.2,6.74,1,0.84
564,312,99,1,2.4,2.3,8.91,0,0.65
565,284,108,5,2.9,2.1,6.25,1,0.84
566,321,120,5,4.4,4.1,6.02,0,0.98
567,327,102,4,4.8,4.6,8.88,0,0.89
568,306,88,1,4.8,3.5,6.31,1,0.66
569,332,90,4,4.6,2.1,7.59,1,0.56
570,333,111,2,4.2,2.1,6.4,0,0.99
571,294,99,3,4.6,2.1,6.24,0,0.58
572,321,91,2,2.3,3.1,9.83,0,0.74
573,315,87,5,4.6,2.4,9.92,0,0.69
574,334,108,1,3.5,4.9,9.47,1,0.72
575,292,80,5,3.9,4.5,7.88,0,0.58
576,321,120,3,3.9,3.5,6.97,1,0.86
577,303,119,3,3.4,4.7,7.05,0,0.79
578,321,111,4,4.8,3.9,7.09,1,0.97
579,289,116,3,4.2,4.0,6.83,0,0.95
580,317,118,2,4.1,3.8,8.5,1,0.77
581,325,86,1,3.8,3.1,6.26,0,0.88
582,307,112,1,2.7,3.5,8.2,1,0.69
583,311,90,1,4.9,4.2,8.66,1,0.7
584,336,88,1,3.4,2.1,6.9,1,0.75
585,283,81,3,2.6,3.3,6.3,0,0.65
586,284,113,3,4.3,2.5,6.21,0,0.7
587,289,119,1,3.0,4.9,8.59,0,0.75
588,300,102,3,4.1,3.1,6.33,0,1.0
589,321,94,2,2.6,4.5,6.7,0,0.6
590,307,101,3,2.3,3.1,9.57,0,0.64
591,281,104,2,2.3,3.8,9.99,1,0.96
592,295,99,5,3.3,2.4,9.01,0,0.83
593,317,98,2,3.9,4.5,6.58,0,0.88
594,306,95,5,2.2,4.9,9.62,1,0.93
595,332,116,1,4.2,4.6,7.51,1,0.75
596,289,96,3,4.9,4.7,8.88,0,0.88
597,306,120,2,3.6,2.5,9.95,1,0.63
598,310,101,4,3.6,2.6,8.17,0,0.72
599,293,101,4,2.7,2.9,8.08,1,0.68
600,340,99,4,4.6,2.9,8.93,1,0.75
601,304,98,3,2.6,3.0,9.86,1,0.52
602,324,112,2,4.3,3.2,10.0,0,0.87
603,329,109,5,3.1,3.7,7.95,1,0.81
604,322,80,4,3.6,4.3,6.56,0,0.99
605,330,86,1,3.1,2.2,6.13,0,0.75
606,308,104,3,3.5,4.2,9.23,1,0.66
607,333,116,2,3.3,2.9,9.94,0,0.76
608,312,90,3,3.2,2.5,6.85,0,0.96
609,285,87,3,2.2,3.3,8.47,1,0.58
610,318,108,5,3.6,3.3,6.25,0,0.58
611,307,116,3,2.5,3.9,7.96,0,0.91
612,335,81,5,4.3,3.9,8.11,1,0.71
613,339,88,5,4.9,4.2,9.74,1,0.76
614,287,113,3,4.6,2.7,7.41,0,0.54
615,290,83,3,2.9,4.6,6.19,0,0.58
616,316,111,2,3.5,4.8,8.17,1,0.76
617,303,91,2,4.9,3.6,6.74,0,0.69
618,300,89,1,4.5,2.7,6.65,0,0.99
619,323,93,5,4.7,4.9,8.36,0,0.93
620,338,104,3,4.2,3.9,9.24,1,0.75
621,310,106,1,3.1,3.8,9.99,0,0.61
622,337,81,5,3.0,4.5,8.93,0,0.96
623,332,115,3,4.9,4.0,7.41,1,0.92
624,305,81,2,3.2,3.4,6.73,1,0.86
625,313,86,1,2.7,2.4,6.7,1,0.9
626,306,83,3,4.7,2.3,8.74,1,0.89
627,300,88,2,4.4,2.3,6.72,1,0.73
628,337,97,5,3.6,3.5,9.81,0,0.94
629,290,102,2,2.3,4.1,8.89,0,0.53
630,288,113,4,3.5,4.0,8.95,0,0.75
631,332,95,5,4.1,2.0,6.5,1,0.87
632,304,107,4,2.9,3.8,9.27,0,0.8
633,287,86,2,3.4,4.3,6.87,1,0.69
634,313,86,5,2.0,4.3,6.95,0,0.52
635,292,106,3,4.1,3.9,7.77,0,0.94
636,336,108,2,3.8,3.0,9.83,1,0.65
637,339,86,4,4.2,3.4,7.11,1,0.78
638,312,100,3,3.8,4.4,7.85,0,0.76
639,282,98,5,2.3,4.9,8.37,0,0.58
640,325,113,4,2.3,2.6,9.45,0,0.84
641,309,115,3,2.3,4.2,7.18,0,0.57
642,311,102,5,4.8,2.1,8.04,1,0.67
643,333,103,5,2.2,2.1,6.49,1,0.61
644,309,100,5,3.2,3.6,6.03,1,0.53
645,287,119,2,4.4,3.4,9.75,1,0.56
646,289,106,5,2.0,3.8,9.47,1,0.83
647,306,119,2,5.0,2.3,6.49,1,0.52
648,335,106,1,3.9,2.3,7.42,0,0.61
649,301,84,1,3.5,4.9,9.75,1,0.81
650,330,82,3,4.1,5.0,6.18,1,0.59
651,295,110,4,3.7,4.0,9.44,0,0.85
652,298,117,2,4.1,2.3,6.06,1,0.78
653,282,94,4,3.2,3.0,7.5,0,0.7
654,309,91,1,4.3,3.0,8.82,1,0.86
655,295,93,4,2.9,4.5,9.12,0,0.73
656,289,120,4,4.2,3.1,8.02,1,0.86
657,295,92,3,4.6,3.3,6.71,1,0.99
658,308,108,3,2.4,4.6,6.03,0,0.59
659,288,86,3,4.6,3.6,8.52,0,0.6
660,315,108,5,2.6,2.3,6.89,1,0.93
661,338,96,5,3.1,2.6,7.99,0,0.57
662,310,91,3,3.2,4.5,8.66,0,0.73
663,316,80,1,3.8,4.4,9.68,0,0.53
664,329,100,5,2.5,4.9,7.78,0,0.88
665,340,93,2,4.9,2.5,7.43,1,0.82
666,286,83,4,3.9,4.5,8.31,0,0.58
667,307,99,2,4.9,4.2,7.13,0,0.85
668,310,94,3,2.1,4.0,6.75,1,0.53
669,327,102,4,4.7,3.4,9.0,1,0.85
670,333,85,4,4.1,2.4,9.21,1,0.64
671,301,94,3,3.8,2.0,7.53,0,0.57
672,308,102,3,2.2,4.3,7.3,1,0.74
673,324,104,1,2.8,2.2,7.47,1,0.9
674,295,113,5,2.7,4.5,9.56,0,0.9
675,338,102,4,4.8,2.7,6.53,0,0.7
676,293,92,3,2.8,2.5,6.92,1,0.78
677,330,117,4,2.7,3.1,6.44,1,0.87
678,283,97,5,4.1,3.5,9.04,1,0.71
679,288,94,3,5.0,2.8,7.24,1,0.81
680,332,102,5,4.0,4.0,8.21,0,0.72
681,307,106,1,2.7,3.1,6.27,1,0.51
682,287,101,1,3.8,3.8,6.7,0,0.56
683,319,109,1,4.8,2.9,6.81,1,0.52
684,299,112,4,2.2,3.5,7.45,0,0.81
685,281,80,3,3.6,4.6,9.5,1,0.93
686,300,109,1,3.2,3.8,6.16,0,0.68
687,327,109,3,3.6,2.9,6.32,0,0.79
688,311,113,2,3.8,4.2,8.77,0,0.85
689,315,98,3,4.0,3.4,7.76,1,0.69
690,296,81,2,4.4,3.2,9.99,1,0.71
691,288,90,5,4.1,4.2,7.9,0,0.99
692,330,107,3,4.4,4.2,6.89,0,0.82
693,292,97,2,2.8,3.7,9.34,1,0.56
694,298,96,1,2.2,4.4,8.25,0,0.85
695,333,107,1,4.6,2.3,9.02,0,0.55
696,328,85,3,4.5,4.3,8.84,1,0.63
697,312,90,1,2.9,2.7,8.28,1,0.7
698,294,98,4,3.9,2.5,8.44,0,0.91
699,336,84,1,2.3,2.3,6.87,1,0.69
700,288,105,2,4.0,3.6,8.34,1,0.74
701,319,81,4,3.4,3.3,8.21,0,0.98
702,324,103,4,2.3,4.2,6.47,0,0.61
703,320,85,2,2.0,4.9,7.06,0,0.77
704,309,106,3,4.1,3.1,9.68,1,0.66
705,280,101,5,3.4,2.9,6.46,0,0.86
706,326,95,5,3.9,4.8,9.67,0,0.78
707,314,109,1,2.8,3.9,10.0,0,0.57
708,316,96,4,4.7,3.3,9.08,1,0.51
709,334,112,4,2.7,3.3,6.54,1,0.56
710,301,109,5,3.2,3.1,6.49,0,0.79
711,323,107,5,2.7,2.9,7.74,0,0.65
712,296,82,1,3.2,4.4,6.84,1,0.77
713,292,102,2,2.3,2.8,8.55,0,0.85
714,311,95,3,2.4,2.6,7.73,0,0.85
715,316,97,5,2.9,3.6,6.49,0,0.59
716,319,89,4,4.2,4.7,8.7,0,0.74
717,332,113,2,2.2,2.6,6.41,0,0.98
718,339,116,1,3.7,3.6,7.8,1,0.88
719,283,102,5,4.6,4.9,8.86,1,0.6
720,318,85,3,4.8,4.9,6.13,0,0.74
721,335,98,1,4.2,4.1,9.75,0,0.86
722,288,114,4,2.3,3.8,7.67,1,0.8
723,293,96,1,3.0,4.3,8.78,1,0.66
724,324,103,2,4.5,4.5,7.3,1,0.92
725,288,117,3,2.2,3.2,9.26,1,0.84
726,316,106,4,4.6,4.8,8.22,1,0.94
727,328,93,5,4.0,4.2,8.98,0,0.55
728,337,89,5,3.7,4.6,7.98,1,0.85
729,315,94,2,3.2,4.3,7.91,1,1.0
730,284,106,1,3.9,2.1,7.88,1,0.72
731,324,101,4,3.5,3.9,8.14,0,0.81
732,291,109,5,4.9,2.8,7.92,1,0.7
733,336,104,2,3.3,3.8,7.55,1,0.79
734,297,95,5,4.6,2.6,7.13,0,0.58
735,302,100,5,3.2,2.3,9.42,1,0.65
736,331,105,1,3.4,3.0,7.16,0,0.78
737,309,106,5,4.1,3.5,9.45,1,0.89
738,315,99,3,4.3,3.2,9.93,0,0.83
739,298,89,2,3.2,3.1,6.89,0,0.97
740,317,89,3,2.6,2.1,9.14,1,0.66
741,302,105,1,4.6,4.4,8.28,0,0.56
742,296,87,3,2.3,4.8,6.56,0,0.7
743,304,87,4,2.7,3.5,8.89,1,0.53
744,300,120,3,3.9,3.9,8.77,1,0.98
745,290,108,1,4.4,3.2,7.72,0,0.6
746,300,81,5,4.8,3.0,8.55,1,0.93
747,338,112,5,4.9,3.6,7.26,1,0.8
748,331,91,1,2.3,3.7,7.9,0,0.93
749,290,120,2,3.8,4.3,8.0,1,0.91
750,287,89,5,4.8,2.7,8.82,0,0.91
751,336,114,5,2.9,3.9,9.14,0,0.82
752,320,101,5,2.2,4.5,9.47,1,0.55
753,330,116,4,4.6,4.6,7.6,0,0.62
754,290,94,5,4.2,2.1,6.2,0,0.54
755,287,117,3,4.7,3.4,8.1,1,0.62
756,312,90,3,3.1,3.8,8.93,1,0.97
757,304,107,2,3.7,4.8,8.04,0,0.68
758,294,85,1,2.3,3.9,7.6,0,0.71
759,305,93,2,2.6,4.6,7.28,1,0.8
760,283,113,1,4.8,4.0,6.0,0,0.91
761,335,114,5,3.8,4.3,8.54,0,0.56
762,314,111,4,3.1,4.8,7.11,0,0.88
763,298,116,1,3.7,4.3,7.03,1,0.62
764,285,118,4,2.2,4.2,8.67,1,0.74
765,297,113,4,4.5,4.8,8.98,0,0.63
766,305,98,2,4.0,3.4,7.51,1,0.99
767,303,89,5,2.4,2.6,7.43,0,0.65
768,289,112,2,4.7,3.6,9.66,1,0.52
769,334,90,4,4.7,3.4,6.07,1,0.59
770,319,120,4,2.8,2.2,7.11,1,0.92
771,328,95,1,2.3,3.3,7.65,1,0.95
772,325,88,4,4.9,3.9,9.16,1,0.67
773,296,88,5,3.0,3.4,6.12,1,0.67
774,293,117,3,2.2,2.2,6.13,0,0.82
775,313,105,2,4.4,3.4,6.78,1,0.99
776,323,92,5,2.5,4.6,6.31,0,0.55
777,283,99,4,3.7,2.2,6.3,0,0.66
778,300,120,4,2.7,2.3,6.93,0,0.84
779,297,120,2,4.7,4.3,9.06,1,0.81
780,337,87,5,4.3,3.2,6.31,1,0.82
781,280,91,4,3.3,2.1,6.64,0,0.52
782,337,116,2,3.4,2.8,8.27,0,0.82
783,282,118,2,3.5,3.7,6.82,0,0.92
784,318,96,3,2.8,4.1,8.59,0,0.81
785,311,90,1,3.4,5.0,7.92,0,0.72
786,302,115,3,3.6,3.3,7.71,1,0.69
787,339,118,2,2.3,4.4,6.24,1,0.9
788,296,103,5,2.6,4.1,8.67,0,0.59
789,329,85,3,4.2,2.4,8.83,1,0.81
790,328,90,3,3.2,3.3,6.96,0,0.99
791,311,85,5,2.8,4.4,9.56,0,0.71
792,334,92,4,3.9,4.5,6.28,0,0.53
793,284,85,5,4.8,4.1,6.91,1,0.62
794,314,88,5,5.0,3.6,7.04,1,0.97
795,292,113,3,4.5,2.9,8.79,0,0.58
796,312,120,1,2.4,2.3,7.28,0,0.85
797,295,107,1,3.2,4.8,6.51,0,0.83
798,305,112,2,3.8,2.6,7.73,1,0.61
799,334,82,5,3.5,3.5,8.31,0,0.73
800,318,82,1,3.4,2.7,8.19,0,0.68
801,302,88,4,2.3,3.6,9.85,0,0.83
802,307,107,2,2.9,2.2,6.64,1,0.56
803,306,109,1,4.7,2.9,7.7,1,0.59
804,336,102,5,2.2,4.6,6.69,0,0.79
805,339,99,3,4.6,3.7,9.67,1,0.78
806,315,89,2,4.7,2.7,7.85,1,0.86
807,340,89,1,3.5,3.2,7.78,1,0.65
808,331,98,3,4.2,2.6,6.59,0,0.58
809,339,116,1,3.3,4.9,8.18,1,0.92
810,317,104,4,3.2,4.4,6.55,0,0.54
811,328,89,3,5.0,2.2,8.9,0,0.75
812,283,82,2,4.2,2.7,6.15,0,0.59
813,330,120,1,4.3,3.6,9.17,1,0.96
814,299,98,1,2.7,2.5,7.38,0,0.97
815,311,91,2,2.3,2.1,6.1,0,0.96
816,315,101,5,5.0,4.7,6.12,0,0.76
817,290,113,2,4.6,4.1,7.1,1,0.62
818,307,120,5,2.2,3.6,6.57,0,0.92
819,313,119,3,4.7,2.6,9.95,0,0.85
820,335,112,4,4.3,3.6,9.6,1,0.91
821,289,117,4,4.1,2.1,8.57,1,0.99
822,317,112,3,5.0,4.6,7.9,0,0.91
823,307,95,5,3.4,2.5,9.57,0,0.81
824,299,120,4,2.3,2.0,6.02,0,0.54
825,295,118,2,3.0,3.9,7.59,1,0.53
826,308,110,5,4.4,2.5,9.35,1,0.74
827,323,109,5,3.3,3.9,8.04,1,0.75
828,335,89,2,4.4,4.2,8.68,0,0.51
829,309,104,1,4.3,4.0,6.07,1,0.97
830,306,107,5,4.5,4.5,8.96,1,0.99
831,324,98,2,4.6,2.7,7.37,1,0.71
832,334,93,4,3.5,3.3,8.54,1,0.79
833,336,112,2,4.6,4.0,6.25,0,0.64
834,294,88,5,2.6,4.5,9.81,1,0.61
835,302,83,4,3.0,2.9,8.56,1,0.54
836,321,88,1,3.2,2.9,9.56,1,0.72
837,316,91,5,2.4,4.7,8.43,1,0.51
838,289,118,1,2.8,3.3,7.67,0,0.76
839,306,98,1,4.0,4.9,9.41,0,0.5
840,304,109,2,4.6,3.7,7.22,1,0.98
841,301,89,2,2.9,4.6,8.09,0,0.79
842,306,98,1,3.1,5.0,9.35,1,0.87
843,315,83,4,4.4,4.7,9.59,1,0.91
844,282,105,2,4.8,3.6,7.5,1,0.52
845,303,80,4,4.9,2.7,7.09,0,0.51
846,290,86,3,4.0,4.2,7.3,0,0.5
847,318,94,4,4.8,3.9,7.52,0,0.75
848,298,117,5,2.2,4.5,8.47,0,0.55
849,284,114,3,4.6,4.2,7.57,0,0.96
850,316,112,3,3.5,2.8,7.8,0,0.8
851,330,99,1,3.8,2.3,7.79,1,0.95
852,326,104,3,2.2,3.2,8.62,1,0.59
853,316,94,4,4.6,4.0,7.52,1,0.51
854,329,96,2,3.4,5.0,9.95,1,0.9
855,281,112,3,4.1,4.8,9.55,1,0.55
856,317,93,2,4.8,4.6,8.58,1,0.61
857,335,94,3,2.2,2.7,8.61,1,0.68
858,286,92,4,3.9,2.4,9.35,0,0.87
859,297,117,2,2.5,4.1,9.76,1,0.59
860,295,104,1,2.2,4.0,6.62,1,0.56
861,294,88,3,4.4,4.8,7.46,0,0.87
862,287,101,1,4.4,3.2,8.96,0,0.7
863,311,82,4,3.3,2.8,9.88,1,0.59
864,301,83,4,2.7,3.3,7.17,0,0.73
865,320,83,2,3.0,2.3,9.89,1,0.69
866,314,89,2,4.9,3.5,8.31,0,0.92
867,322,99,3,4.2,2.0,6.24,0,0.86
868,316,114,2,4.6,3.2,6.06,0,0.95
869,332,98,3,2.8,3.5,9.44,1,0.8
870,318,98,2,4.0,4.9,8.15,0,0.86
871,311,85,2,3.5,2.7,8.47,0,0.84
872,333,92,5,2.3,2.4,8.49,0,0.6
873,289,90,4,2.5,3.4,7.08,0,0.57
874,282,95,3,3.3,2.8,7.18,1,0.63
875,282,116,4,4.2,2.2,7.68,1,0.86
876,326,96,1,3.8,4.8,9.06,0,0.67
877,328,111,3,3.9,3.5,6.99,0,0.99
878,339,99,2,4.1,2.6,6.55,1,0.89
879,327,105,5,4.1,4.4,8.23,0,0.58
880,318,112,3,2.7,3.3,9.77,0,0.78
881,282,101,5,3.6,4.3,8.43,1,0.81
882,309,116,2,3.4,3.1,7.46,0,0.55
883,283,113,5,2.7,2.4,8.75,1,0.75
884,320,117,1,3.2,4.1,8.99,0,0.52
885,329,116,1,2.3,3.7,6.97,0,0.52
886,287,83,5,2.2,3.4,6.2,1,0.68
887,285,92,3,4.5,2.3,6.46,1,0.69
888,308,88,3,4.1,4.5,7.15,0,0.91
889,293,113,1,2.4,4.8,9.74,0,0.55
890,280,92,4,4.7,4.8,7.12,0,0.96
891,329,83,4,3.8,4.6,8.64,1,0.54
892,313,85,1,2.8,4.2,6.78,1,0.97
893,309,89,2,2.6,3.1,9.02,1,0.63
894,304,81,3,2.7,3.7,8.7,1,0.69
895,295,95,1,3.3,5.0,7.5,1,0.66
896,313,106,3,3.9,3.9,6.44,0,0.52
897,318,87,3,4.6,4.8,8.02,1,0.64
898,338,90,2,4.8,2.0,9.11,1,0.91
899,309,80,4,3.4,2.2,9.88,1,0.68
900,340,99,1,2.9,2.1,7.62,1,0.67
901,329,111,2,4.1,3.9,8.48,0,0.53
902,337,92,3,4.1,4.3,6.72,1,0.52
903,290,91,4,3.8,2.2,6.13,0,0.8
904,290,101,3,3.4,4.9,6.89,0,0.58
905,294,85,2,2.6,3.3,6.05,1,0.88
906,317,102,4,3.2,3.7,9.47,0,0.74
907,298,106,5,2.8,3.2,8.77,0,0.68
908,335,99,3,4.8,2.5,8.4,0,0.85
909,289,118,3,3.6,4.9,6.47,0,0.97
910,326,109,1,2.9,3.5,6.15,0,0.54
911,339,115,1,4.0,4.5,9.77,0,0.53
912,281,85,2,4.8,3.8,6.52,0,0.87
913,336,84,1,4.8,4.2,7.13,1,0.79
914,333,119,4,3.4,4.6,6.74,1,0.79
915,295,109,2,2.1,3.7,9.87,1,0.92
916,296,85,2,2.1,3.9,6.47,0,0.68
917,299,105,4,2.5,4.9,6.51,0,0.59
918,303,115,2,4.1,2.7,7.42,1,0.73
919,325,106,3,2.3,4.5,6.77,0,1.0
920,311,110,4,4.2,2.6,9.01,0,0.87
921,317,96,2,2.9,3.8,8.22,1,0.72
922,334,104,4,2.6,2.4,7.21,1,0.55
923,334,81,4,3.3,2.2,7.63,0,0.91
924,317,101,1,3.8,2.8,8.88,1,0.88
925,305,80,1,2.5,2.3,7.3,1,0.59
926,288,83,5,4.9,3.9,8.86,0,0.87
927,326,102,2,3.5,4.0,6.48,1,0.65
928,330,107,2,3.2,5.0,7.1,0,0.54
929,290,109,5,2.7,2.2,6.96,0,0.94
930,304,118,1,4.6,3.3,9.39,1,0.55
931,303,85,3,2.8,4.9,8.79,1,0.9
932,327,105,2,4.0,2.7,7.18,1,0.67
933,306,87,3,3.1,2.9,6.64,1,0.96
934,280,119,4,4.6,3.0,7.35,1,0.51
935,324,109,4,4.8,2.1,7.21,1,0.89
936,294,119,2,3.5,2.7,8.1,1,0.91
937,295,85,3,4.1,2.6,7.77,1,0.94
938,300,115,1,3.4,3.7,9.36,1,0.59
939,297,119,1,2.8,2.9,8.15,1,0.86
940,290,86,3,2.3,4.7,8.58,0,0.86
941,301,109,1,4.2,2.1,8.12,0,0.79
942,297,104,2,3.7,4.7,8.73,0,0.67
943,315,119,5,4.1,4.5,9.38,1,0.58
944,302,113,4,2.9,3.8,7.8,1,0.75
945,297,87,1,2.1,2.3,6.12,1,0.68
946,312,116,4,5.0,3.5,9.99,0,0.99
947,294,109,2,4.9,4.2,8.72,1,0.88
948,282,90,1,3.4,2.3,8.53,1,0.71
949,320,117,3,3.1,3.2,9.13,0,0.94
950,336,96,4,2.7,3.7,7.81,0,0.61
951,283,96,5,3.6,2.5,8.43,0,0.84
952,313,90,3,3.6,3.2,8.57,1,0.75
953,314,103,4,4.0,2.2,6.26,1,0.65
954,318,87,4,3.7,4.6,9.75,1,0.58
955,324,90,2,4.0,2.5,6.43,0,0.96
956,300,102,2,4.4,4.7,6.65,0,0.77
957,331,83,1,4.2,4.1,7.36,1,0.82
958,286,113,2,4.5,4.6,7.68,0,0.92
959,291,85,4,2.4,2.9,6.99,0,0.67
960,292,110,3,3.4,2.4,6.88,0,0.83
961,308,92,2,3.4,3.5,9.87,0,0.78
962,298,94,4,4.2,3.2,9.87,1,0.93
963,340,119,4,4.5,4.2,7.68,1,0.92
964,324,98,3,4.6,4.0,8.8,1,0.97
965,315,86,3,2.5,2.5,9.29,1,0.88
966,340,87,4,3.4,4.4,6.04,0,0.7
967,321,115,4,3.3,4.6,6.67,1,0.76
968,310,94,4,2.5,2.6,9.96,1,0.52
969,328,98,5,4.6,3.7,8.97,1,0.61
970,284,110,4,2.0,2.3,9.87,1,0.6
971,288,107,2,3.2,2.9,9.95,0,0.84
972,292,98,1,4.5,2.4,9.88,0,0.94
973,301,106,1,2.9,5.0,9.48,0,0.95
974,288,96,1,2.5,3.5,8.93,1,0.69
975,339,109,2,3.0,3.1,9.94,1,0.91
976,299,117,4,4.1,4.7,7.47,1,0.68
977,311,113,3,3.7,2.5,6.51,1,0.65
978,338,114,4,2.6,4.5,7.71,0,1.0
979,327,89,2,4.0,3.9,8.37,1,0.9
980,307,95,5,4.3,4.7,6.3,1,0.52
981,313,114,2,2.2,2.5,8.5,0,0.87
982,321,81,1,2.8,3.6,9.18,0,0.96
983,292,93,2,4.1,2.8,9.97,1,0.63
984,289,83,2,4.8,2.3,8.85,1,0.72
985,340,110,5,4.8,3.0,8.79,0,0.84
986,295,85,3,4.9,2.3,6.58,1,0.93
987,293,114,3,2.7,3.5,7.69,0,0.54
988,336,112,5,3.5,3.9,9.05,0,0.71
989,329,83,4,3.5,3.4,8.13,1,0.63
990,340,119,4,4.3,4.8,6.14,1,0.66
991,308,88,3,3.1,4.7,6.3,0,0.53
992,291,114,4,3.3,4.6,8.13,0,0.83
993,330,91,4,4.9,4.9,9.97,0,0.95
994,336,93,2,3.8,2.3,7.28,0,0.76
995,286,81,5,2.0,3.1,9.02,0,0.7
996,280,118,4,3.7,5.0,7.88,1,0.81
997,285,93,5,3.0,2.3,7.39,0,0.87
998,292,94,2,2.6,3.1,6.66,1,0.97
999,294,112,5,4.1,2.7,7.14,1,0.57
1000,337,95,4,2.5,2.4,7.27,1,0.82
1001,294,86,1,5.0,2.9,8.32,0,0.69
1002,290,82,5,4.3,2.4,9.44,1,0.59
1003,337,84,1,3.4,2.8,7.24,0,0.93
1004,320,86,2,2.5,4.8,7.74,0,0.84
1005,291,109,1,3.2,2.7,9.12,1,0.81
1006,325,118,2,4.7,2.4,9.97,1,0.86
1007,303,82,2,2.6,3.6,6.08,1,0.99
1008,332,98,3,2.1,2.2,7.13,1,0.51
1009,321,100,2,4.1,4.6,9.79,0,0.52
1010,280,83,2,3.3,3.4,8.31,1,0.96
1011,280,95,4,2.8,3.4,8.59,0,0.6
1012,304,91,1,3.5,4.1,8.72,1,0.95
1013,320,87,3,2.3,2.6,8.5,1,0.81
1014,310,113,3,3.8,3.8,7.22,0,0.76
1015,293,120,3,3.6,4.1,6.45,0,0.68
1016,290,94,2,2.1,4.3,6.76,1,0.54
1017,321,120,2,2.4,3.3,6.06,1,0.59
1018,292,104,1,3.5,3.9,6.71,1,0.61
1019,329,111,4,3.6,3.2,8.49,0,0.75
1020,320,100,5,5.0,4.7,6.5,1,0.65
1021,283,88,1,4.8,4.9,8.29,0,0.91
1022,297,118,2,5.0,2.5,6.14,1,0.66
1023,304,81,4,3.2,3.6,6.05,0,0.74
1024,295,98,4,2.9,3.8,8.28,1,0.56
1025,336,95,5,2.4,3.8,8.46,1,0.79
1026,322,96,4,2.3,2.2,8.48,1,0.54
1027,303,98,4,4.9,2.6,9.05,0,0.96
1028,328,91,1,4.8,2.1,7.32,1,0.67
1029,292,87,5,3.7,3.8,8.56,1,0.77
1030,340,103,3,2.4,3.0,6.09,1,0.71
1031,336,90,4,3.3,3.1,6.43,0,0.96
1032,286,117,5,2.1,4.3,8.75,0,0.91
1033,316,82,1,4.3,4.0,9.03,1,0.89
1034,331,101,4,2.1,2.3,8.45,0,0.76
1035,322,120,1,4.4,3.8,7.12,1,0.97
1036,314,112,1,4.4,4.2,6.41,0,0.61
1037,326,85,5,4.9,4.3,8.48,1,0.97
1038,327,116,4,4.3,2.0,6.73,1,0.66
1039,311,84,1,3.4,2.2,7.57,0,0.58
1040,292,108,2,4.1,2.3,9.69,0,0.62
1041,334,87,1,2.9,2.4,6.69,0,0.55
1042,281,103,1,4.7,3.6,8.07,1,0.66
1043,323,111,5,3.7,3.2,6.72,1,0.83
1044,282,100,4,3.5,3.6,7.83,0,0.85
1045,328,103,5,2.5,3.6,6.72,1,0.87
1046,316,84,3,2.3,3.7,8.66,0,0.96
1047,313,114,4,4.9,4.0,8.66,1,0.85
1048,318,85,5,4.0,3.3,9.56,0,0.72
1049,299,102,5,4.1,3.5,9.33,1,0.97
1050,331,111,3,2.7,2.3,7.61,1,0.87
1051,318,120,4,4.0,4.0,8.4,0,0.62
1052,314,101,5,4.0,2.4,9.87,0,0.75
1053,318,87,2,3.6,3.8,9.74,0,0.88
1054,284,109,5,2.3,4.0,7.62,0,0.94
1055,301,118,1,4.7,4.6,7.67,1,0.97
1056,287,108,3,4.4,4.4,7.33,1,0.99
1057,332,97,4,3.0,4.2,8.07,1,0.9
1058,286,109,5,3.5,2.9,7.8,1,0.94
1059,335,105,1,2.0,3.5,8.21,0,0.78
1060,321,120,2,2.6,3.4,9.74,0,0.72
1061,292,100,4,2.6,2.3,9.69,1,0.56
1062,327,83,2,4.2,3.3,9.91,0,0.68
1063,328,92,3,4.3,4.3,8.75,0,0.96
1064,320,104,2,2.4,3.5,10.0,0,0.91
1065,328,86,2,2.3,3.0,6.61,1,0.82
1066,303,83,1,3.3,4.9,9.92,1,0.66
1067,305,82,5,4.1,3.8,9.17,0,0.53
